indice_tiempo,produccion,ventas_al_corte,otras_ventas_mdo_interno,exportaciones
2008-01,47251,0,1,43599
2008-02,38747,0,0,25147
2008-03,42095,0,264,52150
2008-04,43881,0,0,55907
2008-05,51679,0,0,42214
2008-06,50726,0,0,25295
2008-07,71888,0,0,61050
2008-08,91595,0,0,85583
2008-09,83924,0,0,108330
2008-10,97429,0,0,92242
2008-11,79530,0,0,39028
2008-12,13119,0,0,49675
2009-01,18355,0,0,27500
2009-02,47673,0,17,47025
2009-03,76655,0,55,67849
2009-04,80577,0,26,84925
2009-05,90288,0,0,91690
2009-06,103000,0,0,94319
2009-07,125872,0,0,133120
2009-08,123928,0,0,124775
2009-09,137501,0,29,142273
2009-10,130614,0,15,105600
2009-11,131458,0,108,96318
2009-12,113182,0,176,126889
2010-01,140247,0,204,153569
2010-02,112508,212,222,110306
2010-03,107929,23579,166,67800
2010-04,141733,54041,140,107779
2010-05,159105,52618,132,79757
2010-06,160019,51415,452,142420
2010-07,165098,48701,824,97865
2010-08,164382,54630,1273,136329
2010-09,157835,60172,792,84151
2010-10,180593,51001,201,130959
2010-11,177578,53800,340,102345
2010-12,153358,53156,495,129039
2011-01,151848,51567,341,105431
2011-02,140363,47034,181,93625
2011-03,187813,61711,256,113189
2011-04,201369,61020,78,119867
2011-05,219703,63499,2573,133987
2011-06,210080,65633,816,151333
2011-07,222315,57802,3053,157789
2011-08,223808,64124,810,155776
2011-09,208434,57055,212,160029
2011-10,234989,66074,239,198010
2011-11,209900,70065,378,97477
2011-12,219342,73902,319,162839
2012-01,257933,68775,3015,141377
2012-02,240003,63202,306,155460
2012-03,212499,67534,149,149417
2012-04,236400,68418,0,187498
2012-05,238838,83289,7599,116280
2012-06,231039,82469,17963,163900
2012-07,246371,87729,12942,181012
2012-08,233859,78277,6880,155776
2012-09,133081,37633,89,76900
2012-10,138008,54170,526,72525
2012-11,153248,71436,436,68305
2012-12,135299,61462,495,74643
2013-01,158499,68819,51,107250
2013-02,113745,60434,505,45000
2013-03,117664,67259,16,89700
2013-04,160321,71070,16,84500
2013-05,120693,83137,0,7620
2013-06,144813,84616,0,35000
2013-07,190969,77187,0,91060
2013-08,193324,73614,0,178095
2013-09,224570,76025,0,121664
2013-10,245438,78663,0,196624
2013-11,218046,74364,30,175996
2013-12,109727,69170,0,16750
2014-01,140472,74656,0,34321
2014-02,132589,36284,0,92755
2014-03,121194,52036,0,85000
2014-04,142470,72603,379,48960
2014-05,229302,85435,0,118100
2014-06,250044,83239,0,142171
2014-07,275067,88928,0,199330
2014-08,278323,93490,61,203000
2014-09,295401,97872,42,163180
2014-10,308897,99874,88,267244
2014-11,243455,96987,60,120222
2014-12,167076,88052,55,128412
2015-01,134435,87181,103,25250
2015-02,99065,84192,0,32750
2015-03,96673,84425,67,37805
2015-04,128439,90867,21,12170
2015-05,131226,88787,100,35375
2015-06,190445,90128,12,93200
2015-07,176765,96532,27,81800
2015-08,208493,97269,27,83800
2015-09,182871,90993,34,94805
2015-10,199680,104648,59,103300
2015-11,182761,87073,30,126646
2015-12,79804,10863,923,61325
2016-01,102682,38739,182,64800
2016-02,151101,72290,2084,22400
2016-03,146050,87959,29,98280
2016-04,191408,92920,16,78465
2016-05,251535,89766,201,151500
2016-06,261774,91174,140,174250
2016-07,248648,84571,0,160140
2016-08,285386,90271,0,179878
2016-09,292540,98653,30,167242
2016-10,294168.1,98070.37,0,252797.09
2016-11,280907.8,87837.92,115,185805.6
2016-12,153075.55,101078.33,270.75,90706
2017-01,189763.37,100122.05,16.61,68350
2017-02,162199.72,89024.43,29.22,69400
2017-03,172221.3,84028.44,19.29,43000
2017-04,249430.87,91804.77,28.42,167600
2017-05,296823.88,94494.43,0,223953.44
2017-06,282714,104724.24,0,169182
2017-07,272984.6,96979.28,0,205860
2017-08,169883.49,102130.66,27.32,104982.84
2017-09,213971.21,94092.04,2.97,42000
2017-10,293096.32,107860.53,28.6,200000
2017-11,302618.48,102110.27,57.56,185000
2017-12,265727.76,105923.82,28.12,170790.77
2018-01,244128.16,82481.54,59.76,213909.23
2018-02,157007.22,83838.64,29.84,40000
2018-03,177938.88,93996.75,30.34,65200
2018-04,226424.78,105104.77,30.48,120000
2018-05,290434.69,89503.66,58.32,183670
2018-06,265426.92,87048.24,0,175330
2018-07,260050.77,93542.35,0,246261.61
2018-08,134849.91,92877.1,41.22,44590.35
2018-09,174085,101675.85,184.39,50482.27
2018-10,132450.22,84474.61,405.52,39559.73
2018-11,259636.46,94142.06,114.62,146000
2018-12,106564.05,89772.64,478.8,76313.67
2019-01,83487.42,84564.65,581.92,0
2019-02,93137.4,77193.72,942.34,0
2019-03,198837.55,92469.24,1525.48,60000
2019-04,274971.95,96412.83,2042.3,166021.67
2019-05,273161.6,91443.08,4168.78,190498.34
2019-06,176760.43,94680.52,5228.52,78500
2019-07,135786,97079,6548,71500
2019-08,203047.58,60849.85,6397.23,60000
2019-09,208479.53,89337.18,8772.03,179816.82
2019-10,172332.16,94013.52,7008.71,0
2019-11,163012.43,99854.24,8243.12,60000
2019-12,164256.43,93063.66,14308.75,148669.99
2020-01,105060.33,45835.03,5861.46,30312.67
2020-02,189691.69,62679.5,4610.35,43000
2020-03,173827.6,82110.03,4875.63,166677.21
2020-04,44793.3,33421.82,1397.25,27784
2020-05,78667.63,76428.11,470.55,0
2020-06,133137.01,84860.45,1390.29,0
2020-07,169827.24,72314.62,501.75,119431
2020-08,106755.03,12190.57,845.06,74243.52
2020-09,105941.04,4926.12,369.38,135756.48
2020-10,12289.05,1165.52,396.54,0
2020-11,28315.76,200.52,166.66,0
2020-12,9058.43,1391.41,450.66,0
2021-01,28073.12,22283.05,368.04,58500
2021-02,164411.47,43545.14,342.6,90000
2021-03,126450.01,50760.49,243.46,118883.58
2021-04,84848.99,36287.342,47.36,0
2021-04,84848.99,36287.342,47.36,0
2021-05,188078.56,15070.6,33.28,141792.53
2021-05,188078.56,15070.6,33.28,141792.53
