establecimiento,cuil,tipo_planta,localidad,area_urbana,departamento,provincia,grano,tn_prod_diar,tn_refi_diar,geojson
Aceitera Chabás S.A ,30-55910851-7,Productora de aceite,Chabás,CHABAS,Caseros,SANTA FE,Soja,4000,,"{""type"":""Point"",""coordinates"":[-61.363943,-33.2346321]}"
Aceitera del Litoral S.A.,33-71086020-9,Productora de aceite,Parana,GRAN PARANA,Paraná,ENTRE RIOS,Lino y Soja,600,,"{""type"":""Point"",""coordinates"":[-60.568318,-31.7109641]}"
Aceitera Gral. Deheza SAICA,30-50287435-3,Refineria y Productora de aceiete,Gral. Deheza,,Juárez Celman,CORDOBA,Girasol y Soja,17000,900,"{""type"":""Point"",""coordinates"":[-63.790609,-32.7504551]}"
Aceitera Ricedal ,30-70722742-3,Productora de aceite,Chabas,,Caseros,SANTA FE,Soja,300,,"{""type"":""Point"",""coordinates"":[-61.349007,-33.233811]}"
AFA (Agríc. Federados Args.) ,30-52571862-6,Refineria y Productora de aceiete,Los Cardos,,San Martín,SANTA FE,Soja y Otros,500,150,"{""type"":""Point"",""coordinates"":[-61.633847,-32.3287511]}"
Alimentos Santa Rosa S.A.,30-70859027-0,Productora de aceite,Rio Cuarto,RIO CUARTO,Río Cuarto,CORDOBA,Soja,250,,"{""type"":""Point"",""coordinates"":[-64.3217521,-33.144972]}"
Arcor S.A.I.C. ,30-50279317-5,Refineria y Productora de aceiete,San Pedro,,San Pedro,BUENOS AIRES,Germen de maiz,100,23,"{""type"":""Point"",""coordinates"":[-59.678932,-33.6985431]}"
Bio-Com S.A.,33-70762273-9,Productora de aceite,Pilar,RIO SEGUNDO,Río Segundo,CORDOBA,Soja,130,,"{""type"":""Point"",""coordinates"":[-63.888118,-31.6806631]}"
Bunge Argentina S.A.,30-70086991-8,Refineria y Productora de aceiete,Tancacha,TANCACHA,Tercero Arriba,CORDOBA,"Soja, Maíz, Caramo y Girasol",1000,32,"{""type"":""Point"",""coordinates"":[-63.972514,-32.244121]}"
Bunge Argentina S.A.,30-70086991-8,Productora de aceite,Ramallo,,Ramallo,BUENOS AIRES,Soja,3000,,"{""type"":""Point"",""coordinates"":[-60.046076,-33.4558411]}"
Bunge Argentina S.A.,30-70086991-8,Refineria y Productora de aceiete,San Jerónimo Sur,,San Lorenzo,SANTA FE,Girasol y Soja,2000,250,"{""type"":""Point"",""coordinates"":[-60.989226,-32.8890461]}"
Bunge Argentina S.A.,30-70086991-8,Refineria y Productora de aceiete,Pto. San Martín,GRAN ROSARIO,San Lorenzo,SANTA FE,Soja,8000,500,"{""type"":""Point"",""coordinates"":[-60.727798,-32.7137351]}"
Buyatti S.A.I.C.A. ,30-50168439-9,Refineria y Productora de aceiete,Reconquista,RECONQUISTA,General Obligado,SANTA FE,Algodon y Girasól,1456,150,"{""type"":""Point"",""coordinates"":[-59.665021,-29.1416331]}"
Buyatti S.A.I.C.A. ,30-50168439-9,Productora de aceite,Pto. San Martín,GRAN ROSARIO,San Lorenzo,SANTA FE,Soja,3350,,"{""type"":""Point"",""coordinates"":[-60.732895,-32.7035721]}"
Cargill S.A.C.I.,30-50679216-5,Productora de aceite,Ing. White ,GRAN BAHIA BLANCA - INGENIERO WHITE,Bahía Blanca,BUENOS AIRES,"Girasól, Lino y Soja",2200,,"{""type"":""Point"",""coordinates"":[-62.269364,-38.7881511]}"
Cargill SACI Pto. ,30-50679216-5,Productora de aceite,Vª Gob. Galvez,,Rosario,SANTA FE,Soja,13000,,"{""type"":""Point"",""coordinates"":[-60.588815,-33.0378311]}"
Cargill SACI Pto. ,30-50679216-5,Productora de aceite,Quebracho,,San Lorenzo,SANTA FE,Soja,6000,,"{""type"":""Point"",""coordinates"":[-60.733477,-32.6659631]}"
Cia. Aceitera de Tartagal,30-70954995-9,Productora de aceite,Taratagal,TARTAGAL,General José de San Martín,SALTA,Tartago y Soja,40,,"{""type"":""Point"",""coordinates"":[-63.808739,-22.5172091]}"
C.I.D.A. Cía. Ind. de Aceites SCA,33-50187872-9,Productora de aceite,Nogoyá,NOGOYA,Nogoyá,ENTRE RIOS,Lino y Soja,120,,"{""type"":""Point"",""coordinates"":[-59.80159,-32.3845531]}"
COFCO Argentina S A,33-50673744-9,Productora de aceite,Pto. San Martín,,San Lorenzo,SANTA FE,Soja y Cáramo,5500,,"{""type"":""Point"",""coordinates"":[-60.726813,-32.6947371]}"
COFCO Argentina S A,33-50673744-9,Productora de aceite,Saforcada (Junín),,Junín,BUENOS AIRES,Girasol y Soja,4000,,"{""type"":""Point"",""coordinates"":[-61.031197,-34.5855011]}"
COFCO Argentina S.A.,33-50673744-9,Productora de aceite,Timbues,,San Lorenzo,SANTA FE,Soja,9000,,"{""type"":""Point"",""coordinates"":[-60.769167,-32.6059481]}"
"Coop. Agr. Ltda, de Picada Libertad",30-50350599-8,Productora de aceite,L. N. Alem,LEANDRO N. ALEM,Leandro N. Alem,MISIONES,Tung,140,,"{""type"":""Point"",""coordinates"":[-55.339102,-27.5976641]}"
Entre Rios Crushing S.A.,30-71055795-7,Productora de aceite,Pque Ind Gualeguaychu,,Gualeguaychú,ENTRE RIOS,Soja,1000,,"{""type"":""Point"",""coordinates"":[-58.60883,-33.0300871]}"
Gensiroil S.A.,30-68810663-6,Productora de aceite,Bahia Blanca,,Bahía Blanca,BUENOS AIRES,Girasol,500,,"{""type"":""Point"",""coordinates"":[-62.368647,-38.6949441]}"
Gente de La Pampa SA,30-58132058-9,Refineria y Productora de aceiete,Catriló,,Catriló,LA PAMPA,Girasol y Soja,350,130,"{""type"":""Point"",""coordinates"":[-63.434367,-36.41341]}"
Germaíz S.A. ,30-54398043-5,Productora de aceite,Baradero,BARADERO,Baradero,BUENOS AIRES,"Maíz, Soja y Girasol",300,,"{""type"":""Point"",""coordinates"":[-59.504641,-33.7987311]}"
Green Lake S.A. - Bco. Nación Arg,30-69879917-6,Productora de aceite,Lucas González,,Gualeguaychú,ENTRE RIOS,Lino y Soja,250,,"{""type"":""Point"",""coordinates"":[-58.614429,-33.0340081]}"
Ingredion S.A.,33-70809768-9,Refineria y Productora de aceiete,Chacabuco,CHACABUCO,Chacabuco,BUENOS AIRES,Germen de maiz,150,50,"{""type"":""Point"",""coordinates"":[-60.490669,-34.6218751]}"
La Oleaginosa de Huanguelen,30-70852293-3,Productora de aceite,Pque Ind. Bolivar,,Bolívar,BUENOS AIRES,Soja,300,,"{""type"":""Point"",""coordinates"":[-61.135305,-36.2057721]}"
LDC Argentina S.A.,30-52671272-9,Productora de aceite,Timbues,,San Lorenzo,SANTA FE,Soja,8000,,"{""type"":""Point"",""coordinates"":[-60.774316,-32.596651]}"
LDC Argentina S.A.,30-52671272-9,Productora de aceite,Gral. Lagos,ARROYO SECO,Rosario,SANTA FE,Soja,12000,,"{""type"":""Point"",""coordinates"":[-60.523372,-33.1231111]}"
Molino Cañuelas S.A.C.I.F.I.A.,30-50795084-8,Refineria y Productora de aceiete,Cañuelas,CAÑUELAS,Cañuelas,BUENOS AIRES,Girasol,1200,300,"{""type"":""Point"",""coordinates"":[-58.750133,-35.0575761]}"
Molino Navarro S.R.L.,30-59580016-8,Refineria y Productora de aceiete,Villa Madero,GRAN BUENOS AIRES,La Matanza,BUENOS AIRES,Girasol y Soja,700,170,"{""type"":""Point"",""coordinates"":[-58.511085,-34.6882841]}"
Molinos Agro S.A.,30-50085862-8,Productora de aceite,San Lorenzo,GRAN ROSARIO,Rosario,SANTA FE,Soja,20000,,"{""type"":""Point"",""coordinates"":[-60.684153,-32.9900871]}"
Molinos Rio de la Plata S.A.,30-50085862-8,Refineria y Productora de aceiete,Rosario,GRAN ROSARIO,Rosario,SANTA FE,Soja,1500,500,"{""type"":""Point"",""coordinates"":[-60.684153,-32.9900871]}"
Niew Wereld SA,30-71098583-5,Refineria y Productora de aceiete,Rio Tercero,RIO TERCERO,Tercero Arriba,CORDOBA,Soja,350,100,"{""type"":""Point"",""coordinates"":[-64.115519,-32.1669261]}"
Nueva Aceitera Ticino S.A.,30-70859270-2,Productora de aceite,Ticino,,General San Martín,CORDOBA,Soja y Mani,200,,"{""type"":""Point"",""coordinates"":[-63.431849,-32.699861]}"
Oleag. Gral. Cabrera OLCA SA,30-50377110-8,Refineria y Productora de aceiete,Gral. Cabrera,GENERAL CABRERA,Juárez Celman,CORDOBA,Soja y Mani,270,70,"{""type"":""Point"",""coordinates"":[-63.873196,-32.8094471]}"
Oleaginosa Moreno Hnos. SA ,33-50223222-9,Productora de aceite,Quequen,QUEQUEN,Necochea,BUENOS AIRES,Girasol,1350,,"{""type"":""Point"",""coordinates"":[-58.706147,-38.5629311]}"
Oleaginosa Moreno SA,33-50223222-9,Productora de aceite,Gral. Villegas,,General Villegas,BUENOS AIRES,Girasol y Soja,2000,,"{""type"":""Point"",""coordinates"":[-63.004961,-35.0475021]}"
Oleaginosa Moreno S.A. ,33-50223222-9,Productora de aceite,Daireaux,,Daireaux,BUENOS AIRES,Girasol y Soja,1800,,"{""type"":""Point"",""coordinates"":[-61.736837,-36.6023751]}"
Oleaginosa San Lorenzo S.A.,30-70872155-3,Productora de aceite,Puerto S. Lorenzo,,San Lorenzo,SANTA FE,Soja,10000,,"{""type"":""Point"",""coordinates"":[-60.763533,-32.7655811]}"
Oleos Santafesinos S.A. ,33-60964931-9,Productora de aceite,Santo Tomé,,La Capital,SANTA FE,Soja,200,,"{""type"":""Point"",""coordinates"":[-60.818426,-31.6652171]}"
Protoil S.A.,30-71421426-4,Productora de aceite,Manuel Ocampo,MANUEL OCAMPO,Pergamino,BUENOS AIRES,Soja,600,,"{""type"":""Point"",""coordinates"":[-60.64953,-33.7598641]}"
Renova S.A.,30-70959089-4,Productora de aceite,Pto. Quequén,,Necochea,BUENOS AIRES,Girasol y Soja,2000,,"{""type"":""Point"",""coordinates"":[-58.702485,-38.5260241]}"
Renova S.A.,30-70959089-4,Productora de aceite,Timbues,,San Lorenzo,SANTA FE,Soja,30000,,"{""type"":""Point"",""coordinates"":[-60.788669,-32.5843291]}"
S.E.D.A. S.A. ,30-50560594-9,Refineria y Productora de aceiete,Lezama,,Lezama,BUENOS AIRES,Girasol y Soja,380,180,"{""type"":""Point"",""coordinates"":[-57.900071,-35.869941]}"
Siete Soles S.A.,30-71139585-3,Productora de aceite,Salto,SALTO,Salto,BUENOS AIRES,Soja,50,,"{""type"":""Point"",""coordinates"":[-60.24709,-34.299391]}"
Tanoni Hnos. S.A.,30-51607779-0,Refineria y Productora de aceiete,Bombal,,Constitución,SANTA FE,Soja,500,150,"{""type"":""Point"",""coordinates"":[-61.319222,-33.4506291]}"
Terminal 6 Industrial SA,33-68920609-9,Productora de aceite,Pto. San Martín,,San Lorenzo,SANTA FE,Soja,20000,,"{""type"":""Point"",""coordinates"":[-60.74303,-32.6605961]}"
Vicentin SAIC (Planta Puerto),30-50095962-9,Refineria y Productora de aceiete,Puerto S. Lorenzo,GRAN ROSARIO,San Lorenzo,SANTA FE,Soja,6500,1000,"{""type"":""Point"",""coordinates"":[-60.725907,-32.7708051]}"
Vicentin S.A.I.C. (Planta Ruta 12),30-50095962-9,Productora de aceite,San Lorenzo,GRAN ROSARIO,San Lorenzo,SANTA FE,Girasol y Soja,4000,,"{""type"":""Point"",""coordinates"":[-60.725907,-32.7708051]}"
Viluco S.A.,30-71010886-9,Refineria y Productora de aceiete,Frias,,Choya,SANTIAGO DEL ESTERO,Soja,3000,600,"{""type"":""Point"",""coordinates"":[-65.116803,-28.57746]}"
