planta,provincia,localidad,direccion,tipo_empresa,tipo_sustrato,georeferenciado,geojson
Lasaffre Argentina SAF,Buenos Aires,Canuela,Pumacahua 6640,Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-58.67684,-34.887762]}"
EEA Reconquista ,Santa Fe,Reconquista ,Ruta 11  km 773,Publica,Desecho Agricultura,A nivel planta,"{""type"":""Point"",""coordinates"":[-59.74126,-29.25956]}"
Acheral S.A,Tucuman,Acheral,Ruta Nacional 38 - Km 767,Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-65.455625,-27.122742]}"
Smurfit Kappa,Buenos Aires,Bernal,Cnel Espora 200,Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-58.27966,-34.70531]}"
Las Camelias,Entre Rios,San Jose,Ruta 26 km5,Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-58.184028,-32.196178]}"
Aguas Santafesinas SA (ASSA),Santa Fe,Casilda,Espana 1750,Publica,Desecho Urbano,A nivel planta,"{""type"":""Point"",""coordinates"":[-61.14267,-33.03642]}"
Aguas Santafesinas SA (ASSA),Santa Fe,Canada de Gomez,Zona rural Canada de Gomez,Privada,Desecho Urbano,A nivel planta,"{""type"":""Point"",""coordinates"":[-61.37081,-32.82712]}"
AVIAGRO,Jujuy,Palpala,Ruta Prov. 49 km 18 S/N,Privada,Desecho Ganaderia,A nivel planta,"{""type"":""Point"",""coordinates"":[-65.16936,-24.267208]}"
citrusvil ,Tucuman,Cevil Pozo,Ruta 302 Km 7,Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-65.134986,-26.846848]}"
INTA - IPAF,Neuquen,Plottier,Colonia San Francisco (Centro demostrativo tecnologico),Publica,Desecho Ganaderia,A nivel planta,"{""type"":""Point"",""coordinates"":[-68.225121,-38.950876]}"
Aysa,Buenos Aires,San Fernando,Pasteur 5030,Publica,Desecho Urbano,A nivel planta,"{""type"":""Point"",""coordinates"":[-58.58477,-34.471015]}"
fundacion Ceferino Namuncura,Chubut,Puerto Madryn,Obreros Unidos 1201,ONG,Desecho Ganaderia,A nivel planta,"{""type"":""Point"",""coordinates"":[-65.051524,-42.751274]}"
Comuna,Santa Fe,Gobernador Crespo,Av. San Martin 198,Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.41086,-30.3619]}"
Cooperativa Mercado San Miguel ,Cordoba,Malagueño,Carlos Paz Km 18  - Barrio La Perla ,Cooperativa,Desecho Agricultura,A nivel planta,"{""type"":""Point"",""coordinates"":[-64.3564,-31.4407]}"
Glucovil,San Luis,Villa Mercedes,Parque Induatrial (completar),Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-65.528097,-33.651238]}"
Comuna,Santa Fe,La criolla,E. Lopez 399,Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.36289,-30.22985]}"
Frigorifico Municiapal,Salta,Candelaria,Muni. Belgrano 170,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-65.05085,-26.1274]}"
Municipalidad de Rafaela,Santa Fe,Rafaela,Relleno sanitario  camino rural,Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-61.52029,-31.19141]}"
EET N 3141,Salta,Ciudad del Milagro,Capitan Paiva esq. Coronel Quesada s/n,Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-65.407307,-24.715432]}"
Aguas del Norte CoSaySa,Salta,Salta Capital,Zona Rural (7 km de la Plaza 9 de Julio),Privada,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-65.414832,-24.788269]}"
La union del norte ,Santa Fe,Villa Ocampo ,ruta 11 km 869,Privada,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-59.33733,-28.52221]}"
Bioelectrica,Cordoba,Rio Cuarto,sin info,Privada,Biomasa Virgen,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-64.38449,-33.18398]}"
Cooperativa Electrica + Fundacion Elipse ,Cordoba,Coronel Baigorria,"Belgrano e Irigoyen
Predio de la Cooperativa el�ctrica",Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-64.35808,-32.85033]}"
Planta Cloacal ASSA,Santa Fe,Rafaela,Calle Beltramino y R. Escalada,Publica,Desecho Urbano,A nivel planta,"{""type"":""Point"",""coordinates"":[-61.47918,-31.26529]}"
Molfino Hnos SA,Santa Fe,Rafaela,Avenida Italia S/N,Privada,Desecho Indust.,A nivel planta,"{""type"":""Point"",""coordinates"":[-61.46374,-31.19668]}"
Escuela Agrotecnica Alberdi,Entre Rios,Oro Verde,Zona Rural (Sin especificar),Publica,Desecho Urbano,A nivel planta,"{""type"":""Point"",""coordinates"":[-60.517581,-31.842467]}"
Escuela primaria,Santa Fe,Humberto Primo,Alverdi y La Rioja,Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-61.356,-30.87156]}"
Naturaleza Viva,Santa Fe,Guadalupe Norte,Calle 1 S/N,Privada,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-59.56381,-28.93378]}"
Escuela Agrotecnica 2050,Santa Fe,Emilia,Estinaslao Lopez 185,Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.74255,-31.0575]}"
Coop. De servicios Publicos Jardin America,Misiones,Jardin America,Brasil 675,Privada,Desecho Indust.,NO,"{""type"":""Point"",""coordinates"":[-55.50806,-26.99098]}"
Establecimiento La Micaela ,Buenos Aires,Carlos tejedor,"entre 2,5 a 3 km",Privada,Desecho Ganaderia,,"{""type"":""Point"",""coordinates"":[-62.38719,-35.38983]}"
Universidad de la Punta,San Luis,La punta,La Punta (sin dereccion),Publica,Desecho Urbano,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-66.306055,-33.151238]}"
Coop. Agricola Mixta Montecarlos,Misiones,Monte Carlos,Av. El Libertador 2713,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-54.73585,-26.60634]}"
Agrotecnica,Santa Fe,La Potasa ,Ruta 40 S S/N,Publica,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-59.83285,-29.12965]}"
Sancor,Buenos Aires,Charlone,Sin direccion,Privada,Desecho Indust.,A nivel localidad,"{""type"":""Point"",""coordinates"":[-63.369017,-34.674415]}"
LartIrigoyen,La pampa,Dorila,Zona Rural (Sin especificar),Privada,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-63.710659,-35.775464]}"
Gobierno provincial (DEISA),San Luis,Carpinteria,Carpinteria (sin especificar),Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.008666,-32.415548]}"
Municipio,La pampa,Ingeniero Luiggi,,Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-64.467434,-35.386812]}"
ACA - TecnoRed,San Luis,Juan Llerena,Zona Rural (Sin especificar),Publica,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.614343,-33.281753]}"
Comunidad Colonia Jaime,Santiago del Estereo,Colonia Jaime,N 34 en el km,Privada,Desecho Indust.,A nivel localidad,
Cerveceria Quilmes,Corrientes,Corrientes (Cap),Garay 340,Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-58.85001,-27.49511]}"
Yvate,Corrientes,Riachuelo,Ruta 12 km 1012,Privada,Desecho Ganaderia,,"{""type"":""Point"",""coordinates"":[-58.79226,-27.63838]}"
Quilmes,Buenos Aires,Quilmes,12 de Octubre y Gran canaria,Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-58.25971,-34.72798]}"
Fundacion Caminos Abiertos,Buenos Aires,Carlos Keen (Lujan),Roca y calle 18,ONG,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-59.21645,-34.48259]}"
Cenci Agroindustrial,Santa Fe,San Carlos Sur,Sarmiento 952,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-61.10278,-31.75494]}"
solamb SRL,Santa Fe,Timbues,Calle Espana 7221,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.78756,-32.62284]}"
Particular (Ing. Fabian Cabrera),Salta,Centro,Laprida 351. ,Particular,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.425195,-24.793269]}"
Citricola San Miguel,Tucuman,Famailla,Ruta 301 km 32,Privada,Desecho Indust.,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.402752,-27.054189]}"
Cushamen,Chubut,Maiten,Sin direccion,Particular,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-71.174938,-42.052927]}"
Biopis,La pampa,General Pico,Las lomas (10km de Pico),Privada,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-63.757343,-35.660439]}"
Compania Industrial Cervecera (CIC SA),Santa Fe,Santa Fe,Calchines 1401,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.69261,-31.64397]}"
Quilmes,Buenos Aires,Zarate,"Ruta Nacional N 9 Km 94,5",Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-59.14361,-34.10222]}"
Quilmes,Buenos Aires,Zarate,"Ruta Nacional N 9 Km 94,5",Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-59.14361,-34.10222]}"
UNCUYO,Mendoza,Lujan de Cuyo,Facultad de Ciencias Agrarias,Publica,Desecho Agricultura,,"{""type"":""Point"",""coordinates"":[-68.872598,-33.006881]}"
LEDESMA,Jujuy,Lib. Gral San Martin,Complejo agroindustrial Ledesma,Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-64.788863,-23.82585]}"
ADCADIS,Entre Rios,Colon,Bv. Ferrari 638,Publica,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-58.139458,-32.230151]}"
Penitenciaria de Santa Rosa,La pampa,Santa Rosa,Mitre (completar),Publica,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-64.262361,-36.615365]}"
Escuela Pueblo Moreno,Entre Rios,Cerrito,Santa Fe 85,Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-60.075982,-31.575532]}"
Dehuin Zonatto,Neuquen,Plottier,Colonia China Muerta,Particular,Desecho Agricultura,A nivel localidad,"{""type"":""Point"",""coordinates"":[-68.229097,-38.947483]}"
Molinos Juan Semino SA,Santa Fe,Carcarana,Bv. Americano S/N,Privada,Desecho Indust.,A nivel localidad,"{""type"":""Point"",""coordinates"":[-61.151668,-32.856199]}"
DPA,Rio Negro,Cipolletti,Zona Periurbana (sin especificar),Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.138206,-26.847486]}"
La Magdalena Estancia SRL,La pampa,Ataliba Roca,Zona Rural (Sin especificar),Publica,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-64.285547,-37.031559]}"
