pais_id,nom_pais,año,uni_med_id,nom_unimed,lino,girasol,maní,trigo candeal,trigo pan,maiz,sorgo granifero,soja,arroz
32,Argentina,1950,t,tonelada,441132,902363,37036,,2789548,148374,,,81798
32,Argentina,1951,t,tonelada,467156,858608,36477,,2731664,161254,,,109642
32,Argentina,1952,t,tonelada,362252,835873,81589,,2214982,184018,,,173112
32,Argentina,1953,t,tonelada,570367,301059,90828,,2894511,171663,,,159960
32,Argentina,1954,t,tonelada,370445,205304,77815,,2787973,173031,,,186084
32,Argentina,1955,t,tonelada,329096,238803,78984,,2928034,206605,,,174844
32,Argentina,1956,t,tonelada,132414,648150,98111,,3025723,231683,,,190158
32,Argentina,1957,t,tonelada,496584,614343,147710,,3071336,225870,,,163272
32,Argentina,1958,t,tonelada,629694,702011,272121,,3197100,205868,,,203068
32,Argentina,1959,t,tonelada,624458,517082,113495,,3410874,218902,,,124585
32,Argentina,1960,t,tonelada,622702,691159,167793,,3112294,223307,45370,,133968
32,Argentina,1961,t,tonelada,517784,572722,179531,,3112294,235516,80049,,132355
32,Argentina,1962,t,tonelada,720171,672336,254368,,3039327,212619,108236,,177489
32,Argentina,1963,t,tonelada,739767,599702,235159,,3061877,205802,76807,,154904
32,Argentina,1964,t,tonelada,711322,431600,220342,14423,3054525,262511,89780,,168229
32,Argentina,1965,t,tonelada,796651,887557,259114,23401,3144903,405381,138837,,217301
32,Argentina,1966,t,tonelada,470222,908756,288443,23809,3185877,401748,139713,,208857
32,Argentina,1967,t,tonelada,506509,1119320,208483,26135,3066229,425867,129452,3400,203500
32,Argentina,1968,t,tonelada,407615,993387,176666,33083,3156956,538505,156116,11832,224962
32,Argentina,1969,t,tonelada,517596,899054,111911,26424,3236623,624727,170982,13462,250632
32,Argentina,1970,t,tonelada,745022,1156500,151475,30378,3259119,728080,197920,20918,300376
32,Argentina,1971,t,tonelada,791097,954889,229091,43328,3360315,954490,220896,32341,288795
32,Argentina,1972,t,tonelada,272067,894813,170926,54464,3596977,1210319,268451,46555,220988
32,Argentina,1973,t,tonelada,318011,1064390,232862,52943,3695936,1095187,302219,164474,219504
32,Argentina,1974,t,tonelada,272214,996596,185646,49964,3478753,1508578,212566,246453,238569
32,Argentina,1975,t,tonelada,355054,633655,149674,64007,3566105,1442243,490778,498518,310903
32,Argentina,1976,t,tonelada,342632,872196,170196,89612,3735833,1415620,306072,484424,285161
32,Argentina,1977,t,tonelada,707075,1003195,340869,73023,3808657,1193278,201467,568337,331791
32,Argentina,1978,t,tonelada,704699,1271285,226409,52398,3824988,1090052,220384,658036,260413
32,Argentina,1979,t,tonelada,526602,1362375,272068,53041,3757849,1176522,255583,687153,267055
32,Argentina,1980,t,tonelada,695792,1720398,125526,51253,3674163,1340714,148241,777996,241290
32,Argentina,1981,t,tonelada,488226,1115133,76955,75015,3515110,1448119,171356,1011304,326931
32,Argentina,1982,t,tonelada,522385,1768045,112666,61407,3473077,1428524,190689,1735951,314516
32,Argentina,1983,t,tonelada,680713,2317994,111282,51133,3600158,1523838,157015,2255110,328802
32,Argentina,1984,t,tonelada,599395,2039218,83503,62288,3716138,1561539,217162,3406855,413620
32,Argentina,1985,t,tonelada,468748,2907646,80336,67409,3928167,1545193,226937,3674552,383511
32,Argentina,1986,t,tonelada,420810,3509549,100380,49244,3989765,1523485,272624,4456007,431331
32,Argentina,1987,t,tonelada,525068,2265650,211926,56369,4029822,1683265,237610,5019608,363647
32,Argentina,1988,t,tonelada,422801,2720772,152530,62243,3951773,1479473,148511,6196355,325857
32,Argentina,1989,t,tonelada,389111,3115127,72137,52649,3918517,1199689,96706,5409596,440442
32,Argentina,1990,t,tonelada,481064,3510638,72888,51833,4070819,1042415,90355,6634874,363237
32,Argentina,1991,t,tonelada,417206,3777303,196790,54099,4263145,1300968,90504,7261820,321399
32,Argentina,1992,t,tonelada,322505,3566356,256424,53717,4012042,1656219,95985,8211539,474977
32,Argentina,1993,t,tonelada,118157,2930083,112131,63926,3963092,1770350,127181,8285886,523006
32,Argentina,1994,t,tonelada,121617,3353037,104194,111672,4263444,1859513,86103,8905417,552216
32,Argentina,1995,t,tonelada,142024,4944786,126587,109516,4235930,1789821,126398,9103046,784696
32,Argentina,1996,t,tonelada,135570,5043314,157035,119850,4521143,1612937,118799,10360362,778752
32,Argentina,1997,t,tonelada,50194,5460840,152340,156443,4714093,2068403,179120,10470309,912848
32,Argentina,1998,t,tonelada,62264,5160201,223087,184357,4827135,2215497,148103,15307440,727588
32,Argentina,1999,t,tonelada,64842,6083735,203597,183249,4550797,2214064,130540,17057715,800848
32,Argentina,2000,t,tonelada,35291,5149374,144620,181612,4635499,2151761,129167,17030932,625100
32,Argentina,2001,t,tonelada,11656,3136303,162435,133286,4620326,2218319,118570,18274212,611038
32,Argentina,2002,t,tonelada,3151,2988582,128677,173426,4668923,1712702,92518,21390839,369219
32,Argentina,2003,t,tonelada,2795,3286253,114375,167144,4965744,2025730,137179,24319887,361549
32,Argentina,2004,t,tonelada,8634,2842478,104018,132750,5030312,1981067,122430,24229484,437392
32,Argentina,2005,t,tonelada,19131,3563262,158929,159992,4997824,2213513,152185,28690811,633662
32,Argentina,2006,t,tonelada,27240,3754826,139307,182250,5099339,2543871,187013,32731608,804814
32,Argentina,2007,t,tonelada,15979,3060277,96715,193946,5766447,2627813,184399,36268044,734941
32,Argentina,2008,t,tonelada,8427,4211298,148199,178084,6123859,2811295,151442,31709219,712167
32,Argentina,2009,t,tonelada,3349,3463353,200662,175105,6041472,3225498,206019,30285623,855790
32,Argentina,2010,t,tonelada,7062,2750476,135843,203150,6323386,3634644,224916,36824628,786922
32,Argentina,2011,t,tonelada,6302,3547927,94827,222550,6390007,4125244,138220,37337293,1052812
32,Argentina,2012,t,tonelada,3333,3675948,148525,225491,6048630,4185457,136212,33333313,1126724
32,Argentina,2013,t,tonelada,991,2584411,150438,267508,5026466,4109914,139609,34040869,1018974
32,Argentina,2014,t,tonelada,3559,2216591,167362,268320,5502068,4436943,133748,37936186,946981
32,Argentina,2015,t,tonelada,2961,2630706,204836,263551,5599442,5516354,54700,40940319,777961
32,Argentina,2016,t,tonelada,3480,2745570,194338,275172,5447197,5228332,81497,8670493,1087554
32,Argentina,2017,t,tonelada,7201,3155237,209151,285620,5634055,5617646,126291,8065602,931169
