pais_id,nompais_id,provincia_id,provincia,localidad,nombreVulgar,unidad_id,unidadRendimiento,RotulosEmitidos,Unidades
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,AGROPIRO ALARGADO,KG,Kilogramos,7945,155024.54
32,Argentina,6,BUENOS AIRES,VILLALONGA,ALFALFA,KG,Kilogramos,48691,849210.81
32,Argentina,6,BUENOS AIRES,CARLOS CASARES,ARVEJA VARIEDAD,KG,Kilogramos,3770,150800.00
32,Argentina,6,BUENOS AIRES,RANCAGUA,AVENA,KG,Kilogramos,67991,2749640.00
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,AVENA BLANCA VARIEDAD,KG,Kilogramos,62527,2501080.00
32,Argentina,6,BUENOS AIRES,SAN ANTONIO DE ARECO,AVENA SATIVA,KG,Kilogramos,4781,191240.00
32,Argentina,6,BUENOS AIRES,MAXIMO PAZ,AVENA STRIGOSA,KG,Kilogramos,1364,54560.00
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,CEBADA CERVECERA,KG,Kilogramos,715862,31111720.00
32,Argentina,6,BUENOS AIRES,CARABELAS,CEBADA FORRAJERA,KG,Kilogramos,6296,164480.00
32,Argentina,6,BUENOS AIRES,CARABELAS,CEBADILLA,KG,Kilogramos,2052,51300.00
32,Argentina,6,BUENOS AIRES,MAR DEL SUD,CEBADILLA CRIOLLA,KG,Kilogramos,83510,2138775.00
32,Argentina,6,BUENOS AIRES,MAR DEL SUD,CEBADILLA PERENNE,KG,Kilogramos,3560,106800.00
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,CENTENO,KG,Kilogramos,1165,46600.00
32,Argentina,6,BUENOS AIRES,SALTO,COLZA-CANOLA HIBRIDO,KG,Kilogramos,1356,27120.00
32,Argentina,6,BUENOS AIRES,INDIO RICO,FESTUCA,KG,Kilogramos,3595,64875.00
32,Argentina,6,BUENOS AIRES,BALCARCE,FESTUCA ALTA,KG,Kilogramos,108846,2135023.70
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,GIRASOL HIBRIDO DE TRES LINEAS,KG,Kilogramos,3000,39000.00
32,Argentina,6,BUENOS AIRES,CORONEL SUAREZ,GIRASOL HIBRIDOS SIMPLES,KG,Kilogramos,52275,573973.84
32,Argentina,6,BUENOS AIRES,GENERAL PIRAN,LOLIUM PERENNE,KG,Kilogramos,810,20250.00
32,Argentina,6,BUENOS AIRES,BALCARCE,LOTUS CORNICULATUS,KG,Kilogramos,3750,89396.52
32,Argentina,6,BUENOS AIRES,PERGAMINO,LOTUS TENUIS,KG,Kilogramos,2596,61597.36
32,Argentina,6,BUENOS AIRES,ROJAS,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,777405,14883418.38
32,Argentina,6,BUENOS AIRES,CHACABUCO,MOHA,KG,Kilogramos,13956,558240.00
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,PAPA VARIEDAD,KG,Kilogramos,27714,5329450.00
32,Argentina,6,BUENOS AIRES,MAR DEL PLATA,PAPA VARIEDAD,KG,Plantulas,106,46065.00
32,Argentina,6,BUENOS AIRES,BALCARCE,PASTO OVILLO,KG,Kilogramos,12754,251945.52
32,Argentina,6,BUENOS AIRES,BALCARCE,PHALARIS AQUATICA L.,KG,Kilogramos,25,625.00
32,Argentina,6,BUENOS AIRES,RAMOS OTERO,PHALARIS BULBOSA,KG,Kilogramos,241,6025.00
32,Argentina,6,BUENOS AIRES,MAR CHIQUITA,RAIGRAS ANUAL,KG,Kilogramos,135366,3469485.00
32,Argentina,6,BUENOS AIRES,BALCARCE,RAIGRAS ANUAL CESPED,KG,Kilogramos,1000,22700.00
32,Argentina,6,BUENOS AIRES,MAXIMO PAZ,RAIGRAS HIBRIDO,KG,Kilogramos,2161,54025.00
32,Argentina,6,BUENOS AIRES,COBO,RAIGRAS PERENNE,KG,Kilogramos,27826,601530.00
32,Argentina,6,BUENOS AIRES,HALE,SOJA,KG,Kilogramos,5462,260280.00
32,Argentina,6,BUENOS AIRES,ROJAS,SORGO FORRAJERO HIBRIDOS,KG,Kilogramos,7000,158760.00
32,Argentina,6,BUENOS AIRES,CORONEL VIDAL,TREBOL BLANCO,KG,Kilogramos,14128,315952.96
32,Argentina,6,BUENOS AIRES,LA DULCE,TRIGO FIDEOS O CANDEAL VARIEDAD,KG,Kilogramos,169897,8403970.00
32,Argentina,6,BUENOS AIRES,CORAZZI,TRIGO PAN LINEA,KG,Kilogramos,3000,120000.00
32,Argentina,6,BUENOS AIRES,25 DE MAYO,TRIGO PAN VARIEDADES,KG,Kilogramos,1654761,73279030.00
32,Argentina,6,BUENOS AIRES,BORDENAVE,TRITICALE,KG,Kilogramos,465,18600.00
32,Argentina,6,BUENOS AIRES,MERCEDES,ZAPALLITO REDONDO DE TRONCO VARIEDAD,KG,Kilogramos,60,100.00
32,Argentina,6,BUENOS AIRES,16 DE JULIO,ZAPALLO/ZAPALLITO REDONDO DE TRONCO HIBRIDO.,KG,Kilogramos,5400,1404.00
32,Argentina,10,CATAMARCA,PUERTA GRANDE,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,311673,5718569.77
32,Argentina,10,CATAMARCA,LOS ALTOS,TRIGO PAN VARIEDADES,KG,Kilogramos,5681,227240.00
32,Argentina,22,CHACO,CHARATA,ALFALFA,KG,Kilogramos,6893,110288.00
32,Argentina,22,CHACO,VILLA ANGELA,ALGODONERO,KG,Kilogramos,9766,292980.00
32,Argentina,22,CHACO,CHARATA,SOJA,KG,Kilogramos,10000,400000.00
32,Argentina,22,CHACO,BASAIL,TRIGO PAN VARIEDADES,KG,Kilogramos,5610,224400.00
32,Argentina,14,CORDOBA,PAMPAYASTA NORTE,ALFALFA,KG,Kilogramos,4363,99075.00
32,Argentina,14,CORDOBA,JESUS MARIA,AVENA,KG,Kilogramos,14732,555850.00
32,Argentina,14,CORDOBA,EL FORTIN,AVENA BLANCA VARIEDAD,KG,Kilogramos,7519,292260.00
32,Argentina,14,CORDOBA,CORDOBA,AVENA STRIGOSA,KG,Kilogramos,792,31680.00
32,Argentina,14,CORDOBA,CAMILO ALDAO,CEBADA CERVECERA,KG,Kilogramos,2100,84000.00
32,Argentina,14,CORDOBA,CINTRA,CEBADA FORRAJERA,KG,Kilogramos,2324,92960.00
32,Argentina,14,CORDOBA,DEL CAMPILLO,CENTENO,KG,Kilogramos,3417,136680.00
32,Argentina,14,CORDOBA,CRUZ DEL EJE,GARBANZO,KG,Kilogramos,2110,200560.00
32,Argentina,14,CORDOBA,LA CARLOTA,GIRASOL HIBRIDOS SIMPLES,KG,Kilogramos,20093,261190.00
32,Argentina,14,CORDOBA,JESUS MARIA,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,37381,757282.44
32,Argentina,14,CORDOBA,CORDOBA,PAPA VARIEDAD,KG,Plantulas,110,59500.00
32,Argentina,14,CORDOBA,LUQUE,SOJA,KG,Kilogramos,47930,2036000.00
32,Argentina,14,CORDOBA,VILLA DEL ROSARIO,SORGO FORRAJERO HIBRIDOS,KG,Kilogramos,20000,400000.00
32,Argentina,14,CORDOBA,LAS VERTIENTES,SORGO GRANIFERO HIBRIDOS,KG,Kilogramos,7000,140000.00
32,Argentina,14,CORDOBA,SANTA TERESA,TRIGO FIDEOS O CANDEAL VARIEDAD,KG,Kilogramos,11316,565800.00
32,Argentina,14,CORDOBA,LEONES,TRIGO PAN LINEA,KG,Kilogramos,2000,80000.00
32,Argentina,14,CORDOBA,GUATIMOZIN,TRIGO PAN VARIEDADES,KG,Kilogramos,565939,23734300.00
32,Argentina,14,CORDOBA,AVELLANEDA,TRITICALE,KG,Kilogramos,1250,50000.00
32,Argentina,14,CORDOBA,MONTE CRISTO,ZAPALLITO REDONDO DE TRONCO HIBRIDO,KG,Kilogramos,24807,6449.82
32,Argentina,14,CORDOBA,RIO PRIMERO,ZAPALLITO REDONDO DE TRONCO VARIEDAD,KG,Kilogramos,4651,5455.00
32,Argentina,18,CORRIENTES,ITATI,ARROZ,KG,Kilogramos,16740,334800.00
32,Argentina,30,ENTRE RIOS,VILLAGUAY,ALFALFA,KG,Kilogramos,2216,51035.08
32,Argentina,30,ENTRE RIOS,GENERAL GALARZA,AVENA,KG,Kilogramos,3030,121200.00
32,Argentina,30,ENTRE RIOS,GENERAL GALARZA,AVENA BLANCA VARIEDAD,KG,Kilogramos,830,33200.00
32,Argentina,30,ENTRE RIOS,MARIA GRANDE,CEBADILLA CRIOLLA,KG,Kilogramos,2803,80075.00
32,Argentina,30,ENTRE RIOS,ARANGUREN,COLZA-CANOLA,KG,Kilogramos,1292,25840.00
32,Argentina,30,ENTRE RIOS,URDINARRAIN,FESTUCA ALTA,KG,Kilogramos,7028,138500.00
32,Argentina,30,ENTRE RIOS,OMBU,LINO,KG,Kilogramos,2000,80000.00
32,Argentina,30,ENTRE RIOS,GUALEGUAYCHU,LOTUS CORNICULATUS,KG,Kilogramos,554,9229.64
32,Argentina,30,ENTRE RIOS,GALARZA,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,4555,91100.00
32,Argentina,30,ENTRE RIOS,LAS MOSCAS,RAIGRAS ANUAL,KG,Kilogramos,122527,2905715.00
32,Argentina,30,ENTRE RIOS,LAS TUNAS,SOJA,KG,Kilogramos,3386,219040.00
32,Argentina,30,ENTRE RIOS,VILLA ELISA,TREBOL BLANCO,KG,Kilogramos,1884,47100.00
32,Argentina,30,ENTRE RIOS,SAUCE PINTO,TRIGO PAN VARIEDADES,KG,Kilogramos,530979,23189570.00
32,Argentina,34,FORMOSA,GENERAL LUCIO VICTORIO MANSILLA,ARROZ,KG,Kilogramos,36198,723960.00
32,Argentina,42,LA PAMPA,AGUSTONI,ALFALFA,KG,Kilogramos,14651,270954.44
32,Argentina,42,LA PAMPA,QUEMU-QUEMU,AVENA BLANCA VARIEDAD,KG,Kilogramos,2740,109600.00
32,Argentina,42,LA PAMPA,ANGUIL,CEBADA FORRAJERA,KG,Kilogramos,1290,51600.00
32,Argentina,42,LA PAMPA,URIBURU,CENTENO,KG,Kilogramos,15883,635320.00
32,Argentina,42,LA PAMPA,WINIFREDA,TRIGO PAN VARIEDADES,KG,Kilogramos,22486,932680.00
32,Argentina,42,LA PAMPA,ANGUIL,TRITICALE,KG,Kilogramos,14808,421200.00
32,Argentina,50,MENDOZA,LAVALLE,ACHICORIA,KG,Kilogramos,52,1300.00
32,Argentina,50,MENDOZA,BOWEN,ALFALFA,KG,Kilogramos,9611,159764.35
32,Argentina,50,MENDOZA,SANTA ROSA,GIRASOL HIBRIDOS SIMPLES,KG,Kilogramos,622,9547.70
32,Argentina,50,MENDOZA,MALARGUE,PAPA VARIEDAD,KG,Kilogramos,68621,2747195.00
32,Argentina,50,MENDOZA,JUNÍN,PORTAINJERTO DURAZNERO,KG,Kilogramos,30,222.00
32,Argentina,62,RIO NEGRO,CHOELE CHOEL,RAIGRAS ANUAL,KG,Kilogramos,5270,131750.00
32,Argentina,62,RIO NEGRO,LAMARQUE,ZAPALLITO REDONDO DE TRONCO HIBRIDO,KG,Kilogramos,15369,3995.94
32,Argentina,62,RIO NEGRO,BELTRAN,ZAPALLO/ZAPALLITO REDONDO DE TRONCO HIBRIDO.,KG,Kilogramos,25312,8099.84
32,Argentina,66,SALTA,ORAN,GIRASOL HIBRIDOS SIMPLES,KG,Kilogramos,1200,13200.00
32,Argentina,66,SALTA,CORONEL MOLLINEDO,SOJA,KG,Kilogramos,25050,1002000.00
32,Argentina,70,SAN JUAN,NIQUIVIL,ALFALFA,KG,Kilogramos,4910,98957.99
32,Argentina,70,SAN JUAN,MEDANO DE ORO,ZAPALLITO REDONDO DE TRONCO VARIEDAD,KG,Kilogramos,13140,3112.00
32,Argentina,74,SAN LUIS,LA VERDE (DPTO. GDOR. V. DUPUY),ALFALFA,KG,Kilogramos,558,13950.00
32,Argentina,74,SAN LUIS,LAS PALOMAS,ALGODONERO,KG,Kilogramos,17402,522060.00
32,Argentina,74,SAN LUIS,VILLA MERCEDES,TRIGO PAN VARIEDADES,KG,Kilogramos,4761,190440.00
32,Argentina,82,SANTA FE,PROGRESO,AVENA,KG,Kilogramos,17377,635280.00
32,Argentina,82,SANTA FE,MACIEL,AVENA BLANCA VARIEDAD,KG,Kilogramos,2131,85240.00
32,Argentina,82,SANTA FE,PILAR,CEBADA CERVECERA,KG,Kilogramos,4098,265000.00
32,Argentina,82,SANTA FE,JUNCAL,CEBADILLA CRIOLLA,KG,Kilogramos,13178,340150.00
32,Argentina,82,SANTA FE,MAXIMO PAZ,FESTUCA ALTA,KG,Kilogramos,1648,37346.92
32,Argentina,82,SANTA FE,LA CHISPA,MAIZ HIBRIDOS DE TRES LINEAS,KG,Kilogramos,10231,248553.72
32,Argentina,82,SANTA FE,SANTA ISABEL,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,372127,7231149.44
32,Argentina,82,SANTA FE,SAN JERONIMO SUD,MAIZ VARIEDADES,KG,Kilogramos,500,10000.00
32,Argentina,82,SANTA FE,JUNCAL,PASTO OVILLO,KG,Kilogramos,1376,13760.00
32,Argentina,82,SANTA FE,MAXIMO PAZ,RAIGRAS ANUAL,KG,Kilogramos,19288,480635.00
32,Argentina,82,SANTA FE,CAYASTACITO,SOJA,KG,Kilogramos,14506,561490.00
32,Argentina,82,SANTA FE,PAVON ARRIBA,TREBOL BLANCO,KG,Kilogramos,75,1256.25
32,Argentina,82,SANTA FE,VENADO TUERTO,TRIGO PAN LINEA,KG,Kilogramos,4232,169280.00
32,Argentina,82,SANTA FE,SAN GREGORIO,TRIGO PAN VARIEDADES,KG,Kilogramos,900160,37550450.00
32,Argentina,86,SGO.DEL ESTERO,Otumpa,ALGODONERO,KG,Kilogramos,6178,185340.00
32,Argentina,86,SGO.DEL ESTERO,ISCA YACU,SOJA,KG,Kilogramos,5220,208800.00
32,Argentina,86,SGO.DEL ESTERO,TOMAS YOUNG,TRIGO PAN VARIEDADES,KG,Kilogramos,26271,1050840.00
32,Argentina,90,TUCUMAN,LA COCHA,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,33469,636959.72
32,Argentina,90,TUCUMAN,ARDOZ,SOJA,KG,Kilogramos,42460,1698400.00
32,Argentina,90,TUCUMAN,BURRUYACU,TRIGO PAN VARIEDADES,KG,Kilogramos,2000,80000.00
